ID,﻿Gender,NameSet,Title,GivenName,MiddleInitial,Surname,StreetAddress,City,State,StateFull,Username,Birthday,BrowserUserAgent,Kilograms,Centimeters,Latitude,Longitude,BloodType,Vehicle,Domain,Occupation
1,female,Brazil,Ms.,Beatrice,P,Ribeiro,Rua Antônio Muniz 111,Vitória,ES,Espírito Santo,Caladving,7/13/1948,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0,96.4,159,-20.285661,-40.306899,B+,2004 Fiat Albea,ExcitingPage.com.br,Marine equipment mechanic
2,female,Brazil,Mrs.,Alice,A,Cardoso,Rua Lírio 1027,Santo André,SP,São Paulo,Selithe,6/23/1995,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.157 Safari/537.36",72.5,155,-23.667731,-46.436181,B+,2015 Audi S3,TelevisionBroker.com.br,Fire inspector
3,male,Brazil,Mr.,Leonardo,F,Melo,Rua Xavier de Brito 417,Recife,PE,Pernambuco,Derithe38,6/16/1938,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",75.1,175,-7.989555,-34.876634,A+,1997 Beijing BJ 2021,Rankingalerts.com.br,Library binding worker
4,male,Brazil,Mr.,Fábio,G,Alves,Rua Joaquim Rosa 1993,Osasco,SP,São Paulo,Preved,4/8/1954,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36",78.0,175,-23.426872,-46.720554,A+,2005 TVR Speed 12,PartyAccommodations.com.br,Heavy vehicle and mobile equipment mechanic
5,male,Brazil,Mr.,João,C,Rocha,Travessa Assis Brasil 1371,Rio Grande,RS,Rio Grande do Sul,Seter1945,1/14/1945,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",99.2,168,-32.117031,-52.340966,O+,2007 Audi S4,SeniorCommander.com.br,Optometrist
6,female,Brazil,Mrs.,Gabrielly,C,Correia,Rua Alvorada 1302,Natal,RN,Rio Grande do Norte,Mycrally43,1/20/1943,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",91.8,153,-5.734715,-35.286409,A+,1998 Volkswagen Caddy,CashTheft.com.br,Maxillofacial radiologist
7,male,Brazil,Mr.,Caio,S,Silva,Avenida Tobias Barreto 883,Teresópolis,RJ,Rio de Janeiro,Onsus1981,1/22/1981,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",84.2,186,-22.278992,-42.849152,B+,2012 Ford Crown Victoria,LawnKits.com.br,Forging machine operator
8,male,Brazil,Mr.,Tiago,C,Santos,Rua Paulo V. Moreira Silva 387,João Pessoa,PB,Paraíba,Licedle,9/3/2002,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",68.0,169,-7.262301,-34.876189,O+,1999 Kia Pride Wagon,SelfBios.com.br,Occupational health and safety specialist
9,female,Brazil,Mrs.,Anna,C,Souza,Rua Elizabela Alves 365,Presidente Prudente,SP,São Paulo,Pord1963,11/2/1963,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.108 Safari/537.36",59.1,166,-21.963464,-51.276625,A+,2009 BMW 118,CampusPods.com.br,Medical translator
10,male,Brazil,Mr.,Mateus,C,Cardoso,Rua Potiguar 839,Goiânia,GO,Goiás,Werefurser,6/2/1974,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.108 Safari/537.36",79.7,184,-16.684959,-49.279324,A+,2006 Ascari A10,FluFood.com.br,Manifold binding worker
